epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,908.772,1.3635,1.17254,1.86588,0.8771,0.87143,0.91658,0.41,1.57231,1.09113,2.04171,0.00675546,0.00675546,0.00675546
43,930.651,1.38451,1.18801,1.88223,0.86427,0.85,0.90013,0.44333,1.44991,1.13313,1.92384,0.0066191,0.0066191,0.0066191
44,952.316,1.38027,1.19006,1.88077,0.89118,0.875,0.94178,0.45477,1.55825,1.05509,2.03327,0.00648164,0.00648164,0.00648164
45,974.094,1.35354,1.18651,1.85521,0.90186,0.85335,0.91919,0.48811,1.43503,1.03571,1.91144,0.00634322,0.00634322,0.00634322
46,995.772,1.37006,1.20499,1.86972,0.8781,0.85714,0.92734,0.49228,1.38812,1.08391,1.86147,0.00620396,0.00620396,0.00620396
47,1017.58,1.36782,1.16939,1.86768,0.9058,0.85853,0.92248,0.48716,1.45206,1.02212,1.9326,0.006064,0.006064,0.006064
48,1039.15,1.34335,1.18262,1.8431,0.85616,0.88214,0.92908,0.47519,1.39492,1.0573,1.86586,0.00592349,0.00592349,0.00592349
49,1061.01,1.34721,1.16091,1.85964,0.9073,0.86786,0.94576,0.50116,1.42566,0.98593,1.8867,0.00578256,0.00578256,0.00578256
50,1082.72,1.33924,1.16226,1.83531,0.86101,0.88929,0.92234,0.47821,1.41252,1.06098,1.87761,0.00564135,0.00564135,0.00564135
51,1104.44,1.35411,1.12446,1.85564,0.86516,0.87857,0.9214,0.45418,1.48909,1.0331,1.98146,0.0055,0.0055,0.0055
52,1126.07,1.31122,1.12128,1.81935,0.87864,0.88571,0.941,0.47282,1.51062,0.96275,1.97741,0.00535865,0.00535865,0.00535865
53,1147.74,1.3155,1.11572,1.81871,0.90304,0.86786,0.93041,0.46973,1.49951,0.99398,1.97109,0.00521744,0.00521744,0.00521744
54,1169.38,1.329,1.08884,1.82144,0.88872,0.90357,0.94433,0.47102,1.46333,0.98594,1.92364,0.00507651,0.00507651,0.00507651
