epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8181.89,0.99808,1.22746,1.38011,0.78052,0.76098,0.80865,0.65362,0.73691,0.71343,1.13142,0.00675546,0.00675546,0.00675546
43,8380.66,0.99721,1.22364,1.37637,0.76746,0.7701,0.80927,0.6547,0.73637,0.71473,1.13035,0.0066191,0.0066191,0.0066191
44,8573.97,0.99302,1.21269,1.37166,0.7646,0.77636,0.81059,0.6553,0.73607,0.71432,1.12887,0.00648164,0.00648164,0.00648164
45,8771.56,0.99023,1.20974,1.36942,0.77237,0.77243,0.81188,0.65382,0.73358,0.71115,1.12685,0.00634322,0.00634322,0.00634322
46,8968.66,0.9853,1.20856,1.36463,0.77542,0.76423,0.81022,0.65438,0.73108,0.71124,1.12617,0.00620396,0.00620396,0.00620396
47,9166.72,0.98217,1.20617,1.36566,0.77843,0.76263,0.80954,0.65555,0.72729,0.71243,1.12515,0.006064,0.006064,0.006064
48,9366.49,0.98399,1.20142,1.36488,0.77974,0.75983,0.8099,0.65556,0.72444,0.71131,1.12359,0.00592349,0.00592349,0.00592349
49,9563.97,0.97895,1.19832,1.35971,0.77499,0.7626,0.8113,0.65681,0.72379,0.71255,1.12388,0.00578256,0.00578256,0.00578256
50,9762.62,0.97339,1.19042,1.35809,0.77442,0.76194,0.81071,0.65717,0.72241,0.71222,1.12317,0.00564135,0.00564135,0.00564135
51,9960.77,0.96939,1.18763,1.35364,0.78,0.75691,0.81179,0.65789,0.72357,0.71037,1.1238,0.0055,0.0055,0.0055
52,10160.7,0.96594,1.18436,1.35221,0.77792,0.75691,0.81062,0.6583,0.72178,0.70862,1.12181,0.00535865,0.00535865,0.00535865
53,10359.1,0.96656,1.17601,1.34849,0.78102,0.75691,0.81054,0.65772,0.72017,0.70762,1.12051,0.00521744,0.00521744,0.00521744
54,10557.3,0.96074,1.17593,1.34701,0.78037,0.76098,0.81089,0.65832,0.71715,0.70697,1.11781,0.00507651,0.00507651,0.00507651
55,10755.7,0.9606,1.16958,1.34609,0.77403,0.76504,0.81202,0.65989,0.71599,0.70633,1.11657,0.004936,0.004936,0.004936
56,10955.2,0.95517,1.16259,1.34057,0.77372,0.76727,0.81197,0.65974,0.71503,0.70498,1.11593,0.00479604,0.00479604,0.00479604
57,11152.4,0.95245,1.16464,1.34085,0.7735,0.76911,0.81201,0.65987,0.71336,0.70443,1.11476,0.00465678,0.00465678,0.00465678
58,11351.7,0.95129,1.16036,1.33913,0.77568,0.77032,0.81255,0.66134,0.71205,0.70369,1.11391,0.00451836,0.00451836,0.00451836
59,11544.6,0.94801,1.15499,1.3353,0.77812,0.76748,0.81309,0.66127,0.71127,0.7031,1.11318,0.0043809,0.0043809,0.0043809
60,11737.7,0.94278,1.14909,1.32953,0.77627,0.76667,0.81338,0.66184,0.71015,0.70217,1.11229,0.00424454,0.00424454,0.00424454
61,11931.3,0.94077,1.14362,1.33094,0.7727,0.76831,0.81417,0.66253,0.70955,0.70244,1.11137,0.00410942,0.00410942,0.00410942
